"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","ULC","HRWKD","PC_CHGPP","A","1971",9.107322,
"NOR","ULC","HRWKD","PC_CHGPP","A","1972",5.672828,
"NOR","ULC","HRWKD","PC_CHGPP","A","1973",7.573092,
"NOR","ULC","HRWKD","PC_CHGPP","A","1974",10.181884,
"NOR","ULC","HRWKD","PC_CHGPP","A","1975",12.551596,
"NOR","ULC","HRWKD","PC_CHGPP","A","1976",9.277597,
"NOR","ULC","HRWKD","PC_CHGPP","A","1977",8.478176,
"NOR","ULC","HRWKD","PC_CHGPP","A","1978",5.680658,
"NOR","ULC","HRWKD","PC_CHGPP","A","1979",-0.200355,
"NOR","ULC","HRWKD","PC_CHGPP","A","1980",7.121234,
"NOR","ULC","HRWKD","PC_CHGPP","A","1981",11.120815,
"NOR","ULC","HRWKD","PC_CHGPP","A","1982",10.933808,
"NOR","ULC","HRWKD","PC_CHGPP","A","1983",3.938568,
"NOR","ULC","HRWKD","PC_CHGPP","A","1984",2.74772,
"NOR","ULC","HRWKD","PC_CHGPP","A","1985",4.616983,
"NOR","ULC","HRWKD","PC_CHGPP","A","1986",8.037151,
"NOR","ULC","HRWKD","PC_CHGPP","A","1987",10.012783,
"NOR","ULC","HRWKD","PC_CHGPP","A","1988",6.504496,
"NOR","ULC","HRWKD","PC_CHGPP","A","1989",0.178969,
"NOR","ULC","HRWKD","PC_CHGPP","A","1990",1.347852,
"NOR","ULC","HRWKD","PC_CHGPP","A","1991",0.999633,
"NOR","ULC","HRWKD","PC_CHGPP","A","1992",0.008768,
"NOR","ULC","HRWKD","PC_CHGPP","A","1993",-0.755634,
"NOR","ULC","HRWKD","PC_CHGPP","A","1994",-0.513188,
"NOR","ULC","HRWKD","PC_CHGPP","A","1995",1.403541,
"NOR","ULC","HRWKD","PC_CHGPP","A","1996",1.361615,
"NOR","ULC","HRWKD","PC_CHGPP","A","1997",2.535272,
"NOR","ULC","HRWKD","PC_CHGPP","A","1998",6.966212,
"NOR","ULC","HRWKD","PC_CHGPP","A","1999",4.249913,
"NOR","ULC","HRWKD","PC_CHGPP","A","2000",2.113787,
"NOR","ULC","HRWKD","PC_CHGPP","A","2001",3.63628,
"NOR","ULC","HRWKD","PC_CHGPP","A","2002",3.190938,
"NOR","ULC","HRWKD","PC_CHGPP","A","2003",1.754974,
"NOR","ULC","HRWKD","PC_CHGPP","A","2004",0.607607,
"NOR","ULC","HRWKD","PC_CHGPP","A","2005",3.17085,
"NOR","ULC","HRWKD","PC_CHGPP","A","2006",6.423209,
"NOR","ULC","HRWKD","PC_CHGPP","A","2007",7.14339,
"NOR","ULC","HRWKD","PC_CHGPP","A","2008",8.98991,
"NOR","ULC","HRWKD","PC_CHGPP","A","2009",4.624451,
"NOR","ULC","HRWKD","PC_CHGPP","A","2010",2.340706,
"NOR","ULC","HRWKD","PC_CHGPP","A","2011",5.131767,
"NOR","ULC","HRWKD","PC_CHGPP","A","2012",3.776943,
"NOR","ULC","HRWKD","PC_CHGPP","A","2013",4.502451,
"NOR","ULC","HRWKD","PC_CHGPP","A","2014",2.082129,
"NOR","ULC","HRWKD","PC_CHGPP","A","2015",1.071562,
"NOR","ULC","HRWKD","PC_CHGPP","A","2016",0.449886,
"NOR","ULC","HRWKD","PC_CHGPP","A","2017",0.768303,
"NOR","ULC","HRWKD","PC_CHGPP","A","2018",3.6047,
"ITA","ULC","EMP","PC_CHGPP","A","1982",16.31219,
"ITA","ULC","EMP","PC_CHGPP","A","1983",14.48664,
"ITA","ULC","EMP","PC_CHGPP","A","1984",8.298796,
"ITA","ULC","EMP","PC_CHGPP","A","1985",7.914746,
"ITA","ULC","EMP","PC_CHGPP","A","1986",5.108353,
"ITA","ULC","EMP","PC_CHGPP","A","1987",5.121915,
"ITA","ULC","EMP","PC_CHGPP","A","1988",4.92473,
"ITA","ULC","EMP","PC_CHGPP","A","1989",5.567338,
"ITA","ULC","EMP","PC_CHGPP","A","1990",9.490134,
"ITA","ULC","EMP","PC_CHGPP","A","1991",7.945485,
"ITA","ULC","EMP","PC_CHGPP","A","1992",4.796952,
"ITA","ULC","EMP","PC_CHGPP","A","1993",2.018957,
"ITA","ULC","EMP","PC_CHGPP","A","1994",-0.02599277,
"ITA","ULC","EMP","PC_CHGPP","A","1995",1.201657,
"ITA","ULC","EMP","PC_CHGPP","A","1996",5.368736,
"ITA","ULC","EMP","PC_CHGPP","A","1997",2.854344,
"ITA","ULC","EMP","PC_CHGPP","A","1998",-2.018731,
"ITA","ULC","EMP","PC_CHGPP","A","1999",1.641627,
"ITA","ULC","EMP","PC_CHGPP","A","2000",0.3170469,
"ITA","ULC","EMP","PC_CHGPP","A","2001",3.212985,
"ITA","ULC","EMP","PC_CHGPP","A","2002",3.889601,
"ITA","ULC","EMP","PC_CHGPP","A","2003",4.307605,
"ITA","ULC","EMP","PC_CHGPP","A","2004",2.519489,
"ITA","ULC","EMP","PC_CHGPP","A","2005",2.369646,
"ITA","ULC","EMP","PC_CHGPP","A","2006",2.419885,
"ITA","ULC","EMP","PC_CHGPP","A","2007",1.984971,
"ITA","ULC","EMP","PC_CHGPP","A","2008",4.041727,
"ITA","ULC","EMP","PC_CHGPP","A","2009",4.352431,
"ITA","ULC","EMP","PC_CHGPP","A","2010",-0.02303293,
"ITA","ULC","EMP","PC_CHGPP","A","2011",0.5129205,
"ITA","ULC","EMP","PC_CHGPP","A","2012",1.471684,
"ITA","ULC","EMP","PC_CHGPP","A","2013",0.9046452,
"ITA","ULC","EMP","PC_CHGPP","A","2014",0.2022783,
"ITA","ULC","EMP","PC_CHGPP","A","2015",0.9028935,
"ITA","ULC","EMP","PC_CHGPP","A","2016",0.347783,
"ITA","ULC","EMP","PC_CHGPP","A","2017",-0.0550396,
"ITA","ULC","EMP","PC_CHGPP","A","2018",2.110792,
"ITA","ULC","EMP","PC_CHGPP","A","2019",1.418609,
"LUX","ULC","EMP","PC_CHGPY","Q","1996-Q1",6.062448,
"LUX","ULC","EMP","PC_CHGPY","Q","1996-Q2",3.175878,
"LUX","ULC","EMP","PC_CHGPY","Q","1996-Q3",1.148583,
"LUX","ULC","EMP","PC_CHGPY","Q","1996-Q4",5.918953,
"LUX","ULC","EMP","PC_CHGPY","Q","1997-Q1",0.2090522,
"LUX","ULC","EMP","PC_CHGPY","Q","1997-Q2",-0.7789114,
"LUX","ULC","EMP","PC_CHGPY","Q","1997-Q3",-2.105111,
"LUX","ULC","EMP","PC_CHGPY","Q","1997-Q4",0.9513248,
"LUX","ULC","EMP","PC_CHGPY","Q","1998-Q1",-0.8590806,
"LUX","ULC","EMP","PC_CHGPY","Q","1998-Q2",-0.7283241,
"LUX","ULC","EMP","PC_CHGPY","Q","1998-Q3",-0.8817025,
"LUX","ULC","EMP","PC_CHGPY","Q","1998-Q4",0.08881775,
"LUX","ULC","EMP","PC_CHGPY","Q","1999-Q1",-0.1258983,
"LUX","ULC","EMP","PC_CHGPY","Q","1999-Q2",0.2305897,
