Nb,Year,Country,U_Emp,UL_Cost,Wage,Cor_Tax,CPI_Rank,GPI_Acc,GPI_Law,GPI_Qual,GPI_Violo,GPI_Effe,GPI_Corr,Prop_Cost
1,2010,Spain,19.875,105.6,41034,30,60,85.30806,86.25592,84.21053,33.64929,78.94736,82.38095,5921.47
2,2011,Spain,21.408,103.8,40453,30,62,83.09859,85.91549,81.51659,48.34123,81.51659,82.46445,5746.78
3,2012,Spain,24.792,101.2,39302,30,65,82.15962,83.09859,78.19905,42.65403,82.46445,83.41232,5577.25
4,2013,Spain,26.117,100.3,39391,30,59,78.40376,81.69014,79.14692,46.91943,82.93839,78.19905,5412.72
5,2014,Spain,24.45,100.0,39398,30,60,76.84729,80.28846,75,55.23809,84.13461,72.11539,5253.05
6,2015,Spain,22.075,100.0,40088,28,58,82.75862,79.32692,75.48077,55.71429,85.09615,69.71154,5098.08
7,2016,Spain,19.65,99.1,39860,25,58,82.26601,80.76923,81.25,60.95238,83.17308,68.26923,4947.69
8,2017,Spain,17.233,99.5,39073,25,57,81.28078,81.25,79.80769,56.19048,81.73077,68.26923,4801.73
9,2018,Spain,15.267,100.7,38761,25,58,82.75862,80.28846,80.28846,55.23809,79.32692,72.59615,4660.08
10,2019,Spain,14.117,103,39707,28,62,81.65,82.1,79.43,50.54,82.15,75.27,4522.61
11,2010,Switzerland,4.803,97.5,62003,21.2,86,99.05213,94.3128,94.73684,92.41706,97.60766,96.66666,9794.57
12,2011,Switzerland,4.401,99.3,62108,21.2,85,98.59155,93.89671,94.78673,94.3128,97.63033,95.7346,9992.7
13,2012,Switzerland,4484,100.6,63207,21.2,86,98.12206,96.71362,95.26067,98.5782,97.63033,97.63033,10194.83
14,2013,Switzerland,4.747,101.2,64181,21.1,85,98.12206,96.24413,94.3128,98.10426,97.63033,97.63033,10401.05
15,2014,Switzerland,4.829,100.1,64285,21.1,86,99.01478,98.07692,96.15385,98.09524,99.51923,97.59615,10611.45
16,2015,Switzerland,4.8,100.0,64223,21.1,86,98.52217,97.59615,95.19231,96.66666,99.51923,97.59615,10826.1
17,2016,Switzerland,4.919,99.3,64064,21.1,86,97.53695,98.07692,98.07692,94.7619,99.51923,95.67308,11045.09
18,2017,Switzerland,4.797,98.8,63900,21.1,85,98.02956,98.55769,97.11539,94.28571,99.51923,96.63461,11268.51
19,2018,Switzerland,4.714,98.1,64109,21.1,85,99.01478,99.03846,96.63461,95.2381,99.51923,96.63461,11496.45
20,2019,Switzerland,4.394,98.8,63564,21,85,98.45,96.95,95.81,95.83,98.68,96.87,11729
21,2010,United Kingdom,7.808,95.3,45527,28,79,91.94313,94.78673,97.60766,60.18958,91.86603,92.38095,9168.94
22,2011,United Kingdom,8.058,96.0,44376,26,79,92.01878,92.48827,95.26067,58.76777,91.94313,92.41706,9482.72
23,2012,United Kingdom,7.925,96.9,44007,24,74,92.48827,92.95775,94.78673,59.71564,92.41706,92.891,9807.23
24,2013,United Kingdom,7.55,99.0,44141,23,76,92.48827,93.89671,96.20853,63.03318,90.52132,93.36493,10142.85
25,2014,United Kingdom,6.142,99.9,43782,21,78,90.14778,94.71154,97.11539,59.52381,92.78846,93.26923,10489.96
26,2015,United Kingdom,5.325,100.0,44126,20,81,92.11823,93.75,98.55769,61.42857,94.23077,93.75,10848.94
27,2016,United Kingdom,4.825,102.7,44466,20,81,93.10345,92.78846,95.19231,58.57143,92.78846,94.23077,11220.21
28,2017,United Kingdom,4.35,105.0,44590,19,82,93.10345,92.78846,94.23077,59.04762,90.38461,94.71154,11604.18
29,2018,United Kingdom,4.017,107.8,44770,19,80,93.59606,91.82692,96.15385,48.09524,87.98077,93.26923,12001.29
30,2019,United Kingdom,3.767,111.6,44421,22,77,92.33,93.33,96.12,58.71,91.66,93.36,12412
