#NAME?,"<?xml version=""1.0""?><WebTableParameter xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""""><DataTable Code=""AV_AN_WAGE"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Average annual wages</Name><Name LocaleIsoCode=""fr"">Salaires annuels moyens</Name><Dimension Code=""COUNTRY"" CommonCode=""LFS_COUNTRY"" Display=""labels""><Name LocaleIsoCode=""en"">Country</Name><Name LocaleIsoCode=""fr"">Pays</Name><Member Code=""AUS"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Australia</Name><Name LocaleIsoCode=""fr"">Australie</Name></Member><Member Code=""AUT"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Austria</Name><Name LocaleIsoCode=""fr"">Autriche</Name></Member><Member Code=""BEL"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Belgium</Name><Name LocaleIsoCode=""fr"">Belgique</Name></Member><Member Code=""CAN"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Canada</Name><Name LocaleIsoCode=""fr"">Canada</Name></Member><Member Code=""CHL"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Chile</Name><Name LocaleIsoCode=""fr"">Chili</Name></Member><Member Code=""CZE"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Czech Republic</Name><Name LocaleIsoCode=""fr"">République tchèque</Name></Member><Member Code=""DNK"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Denmark</Name><Name LocaleIsoCode=""fr"">Danemark</Name></Member><Member Code=""EST"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Estonia</Name><Name LocaleIsoCode=""fr"">Estonie</Name></Member><Member Code=""FIN"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Finland</Name><Name LocaleIsoCode=""fr"">Finlande</Name></Member><Member Code=""FRA"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">France</Name><Name LocaleIsoCode=""fr"">France</Name></Member><Member Code=""DEU"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Germany</Name><Name LocaleIsoCode=""fr"">Allemagne</Name></Member><Member Code=""GRC"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Greece</Name><Name LocaleIsoCode=""fr"">Grèce</Name></Member><Member Code=""HUN"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Hungary</Name><Name LocaleIsoCode=""fr"">Hongrie</Name></Member><Member Code=""ISL"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Iceland</Name><Name LocaleIsoCode=""fr"">Islande</Name></Member><Member Code=""IRL"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Ireland</Name><Name LocaleIsoCode=""fr"">Irlande</Name></Member><Member Code=""ISR"" HasMetadata=""true"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Israel</Name><Name LocaleIsoCode=""fr"">Israel</Name></Member><Member Code=""ITA"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Italy</Name><Name LocaleIsoCode=""fr"">Italie</Name></Member><Member Code=""JPN"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Japan</Name><Name LocaleIsoCode=""fr"">Japon</Name></Member><Member Code=""KOR"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Korea</Name><Name LocaleIsoCode=""fr"">Corée</Name></Member><Member Code=""LVA"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Latvia</Name><Name LocaleIsoCode=""fr"">Lettonie</Name></Member><Member Code=""LTU"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Lithuania</Name><Name LocaleIsoCode=""fr"">Lithuanie</Name></Member><Member Code=""LUX"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Luxembourg</Name><Name LocaleIsoCode=""fr"">Luxembourg</Name></Member><Member Code=""MEX"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Mexico</Name><Name LocaleIsoCode=""fr"">Mexique</Name></Member><Member Code=""NLD"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Netherlands</Name><Name LocaleIsoCode=""fr"">Pays-Bas</Name></Member><Member Code=""NZL"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">New Zealand</Name><Name LocaleIsoCode=""fr"">Nouvelle-Zélande</Name></Member><Member Code=""NOR"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Norway</Name><Name LocaleIsoCode=""fr"">Norvège</Name></Member><Member Code=""POL"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Poland</Name><Name LocaleIsoCode=""fr"">Pologne</Name></Member><Member Code=""PRT"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Portugal</Name><Name LocaleIsoCode=""fr"">Portugal</Name></Member><Member Code=""SVK"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Slovak Republic</Name><Name LocaleIsoCode=""fr"">République slovaque</Name></Member><Member Code=""SVN"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Slovenia</Name><Name LocaleIsoCode=""fr"">Slovenie</Name></Member><Member Code=""ESP"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Spain</Name><Name LocaleIsoCode=""fr"">Espagne</Name></Member><Member Code=""SWE"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Sweden</Name><Name LocaleIsoCode=""fr"">Suède</Name></Member><Member Code=""CHE"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">Switzerland</Name><Name LocaleIsoCode=""fr"">Suisse</Name></Member><Member Code=""GBR"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">United Kingdom</Name><Name LocaleIsoCode=""fr"">Royaume-Uni</Name></Member><Member Code=""USA"" HasOnlyUnitMetadata=""false""><Name LocaleIsoCode=""en"">United States</Name><Name LocaleIsoCode=""fr"">États-Unis</Name></Member></Dimension><Dimension Code=""TIME"" CommonCode=""TIME"" Display=""labels""><Name LocaleIsoCode=""en"">Time</Name><Name LocaleIsoCode=""fr"">Temps</Name><Member Code=""2010""><Name LocaleIsoCode=""en"">2010</Name><Name LocaleIsoCode=""fr"">2010</Name></Member><Member Code=""2011""><Name LocaleIsoCode=""en"">2011</Name><Name LocaleIsoCode=""fr"">2011</Name></Member><Member Code=""2012""><Name LocaleIsoCode=""en"">2012</Name><Name LocaleIsoCode=""fr"">2012</Name></Member><Member Code=""2013""><Name LocaleIsoCode=""en"">2013</Name><Name LocaleIsoCode=""fr"">2013</Name></Member><Member Code=""2014""><Name LocaleIsoCode=""en"">2014</Name><Name LocaleIsoCode=""fr"">2014</Name></Member><Member Code=""2015""><Name LocaleIsoCode=""en"">2015</Name><Name LocaleIsoCode=""fr"">2015</Name></Member><Member Code=""2016""><Name LocaleIsoCode=""en"">2016</Name><Name LocaleIsoCode=""fr"">2016</Name></Member><Member Code=""2017""><Name LocaleIsoCode=""en"">2017</Name><Name LocaleIsoCode=""fr"">2017</Name></Member><Member Code=""2018""><Name LocaleIsoCode=""en"">2018</Name><Name LocaleIsoCode=""fr"">2018</Name></Member></Dimension><Dimension Code=""SERIES"" Display=""labels""><Name LocaleIsoCode=""en"">Series</Name><Name LocaleIsoCode=""fr"">Séries</Name><Member Code=""USDPPP"" HasMetadata=""true"" HasOnlyUnitMetadata=""true""><Name LocaleIsoCode=""en"">In 2018 constant prices at 2018 USD PPPs</Name><Name LocaleIsoCode=""fr"">En prix constants 2018 à 2018 PPP USD</Name></Member></Dimension><Dimension Code=""FAKEUNITDIM"" xmlns=""""><Name LocaleIsoCode=""en"">Unit</Name><Name LocaleIsoCode=""fr"">Unité</Name><Member Code=""FAKEUNITMEMBERCODE""><Name LocaleIsoCode=""en"">Default Unit</Name><Name LocaleIsoCode=""fr"">Unité par défaut</Name></Member></Dimension><WBOSInformations><TimeDimension WebTreeWasUsed=""false""><StartCodes Annual=""2010"" /></TimeDimension></WBOSInformations><Tabulation Axis=""horizontal""><Dimension Code=""TIME"" CommonCode=""TIME"" /></Tabulation><Tabulation Axis=""vertical""><Dimension Code=""COUNTRY"" CommonCode=""LFS_COUNTRY"" /><Dimension Code=""SERIES"" /><Dimension xmlns="""" Code=""FAKEUNITDIM"" /></Tabulation><Tabulation Axis=""page"" /><Formatting><Labels LocaleIsoCode=""en"" /><Power>0</Power><Decimals>0</Decimals><SkipEmptyLines>false</SkipEmptyLines><SkipEmptyCols>false</SkipEmptyCols><SkipLineHierarchy>false</SkipLineHierarchy><SkipColHierarchy>false</SkipColHierarchy><Page>1</Page></Formatting></DataTable><Format><ShowEmptyAxes>true</ShowEmptyAxes><Page>1</Page><EnableSort>true</EnableSort><IncludeFlagColumn>false</IncludeFlagColumn><IncludeTimeSeriesId>false</IncludeTimeSeriesId><DoBarChart>false</DoBarChart><FreezePanes>true</FreezePanes><MaxBarChartLen>65</MaxBarChartLen></Format><Query><AbsoluteUri>http://stats.oecd.org//View.aspx?QueryId=&amp;QueryType=Public&amp;Lang=en</AbsoluteUri></Query></WebTableParameter>",,,,,,,,,,,
Dataset: Average annual wages,,,,,,,,,,,,
Time,,,,2010,2011,2012,2013,2014,2015,2016,2017,2018
Country,Series,Unit,,,,,,,,,,
Australia,In 2018 constant prices at 2018 USD PPPs,"US Dollar, 2018",i,52'253 ,53'906 ,54'226 ,53'977 ,54'392 ,53'946 ,53'972 ,53'507 ,53'349 
Austria,,"US Dollar, 2018",i,50'097 ,49'579 ,49'835 ,49'896 ,50'083 ,50'374 ,50'906 ,50'851 ,50'868 
Belgium,,"US Dollar, 2018",i,50'872 ,51'205 ,51'551 ,52'222 ,52'514 ,52'120 ,51'952 ,51'736 ,52'080 
Canada,,"US Dollar, 2018",i,45'503 ,46'203 ,47'276 ,48'192 ,48'718 ,48'979 ,47'793 ,48'247 ,48'849 
Chile,,"US Dollar, 2018",i,24'961 ,25'106 ,25'915 ,26'584 ,26'804 ,26'759 ,27'655 ,26'767 ,27'125 
Czech Republic,,"US Dollar, 2018",i,22'944 ,23'102 ,23'090 ,22'846 ,23'324 ,23'963 ,24'778 ,25'804 ,26'962 
Denmark,,"US Dollar, 2018",i,52'264 ,51'993 ,51'923 ,52'261 ,53'261 ,54'197 ,55'032 ,54'723 ,55'253 
Estonia,,"US Dollar, 2018",i,21'192 ,20'321 ,21'162 ,21'460 ,22'571 ,23'436 ,24'691 ,25'368 ,26'898 
Finland,,"US Dollar, 2018",i,43'535 ,43'685 ,43'715 ,43'245 ,43'229 ,43'617 ,43'969 ,43'802 ,44'111 
France,,"US Dollar, 2018",i,42'435 ,42'370 ,42'654 ,43'013 ,43'309 ,43'732 ,44'220 ,44'469 ,44'510 
Germany,,"US Dollar, 2018",i,44'451 ,45'209 ,45'725 ,46'277 ,47'010 ,48'035 ,48'710 ,49'161 ,49'813 
Greece,,"US Dollar, 2018",i,31'510 ,29'445 ,28'108 ,26'290 ,26'803 ,26'585 ,26'506 ,26'486 ,26'671 
Hungary,,"US Dollar, 2018",i,21'618 ,21'604 ,20'852 ,20'893 ,20'707 ,20'150 ,21'078 ,22'493 ,24'455 
Iceland,,"US Dollar, 2018",i,45'952 ,48'156 ,48'050 ,48'858 ,49'472 ,53'262 ,58'131 ,64'415 ,66'504 
Ireland,,"US Dollar, 2018",i,48'698 ,48'765 ,48'153 ,46'725 ,46'315 ,47'245 ,47'709 ,47'303 ,47'952 
Israel,,"US Dollar, 2018",i,34'997 ,35'275 ,33'167 ,33'428 ,33'516 ,34'482 ,35'701 ,36'679 ,37'655 
Italy,,"US Dollar, 2018",i,39'051 ,38'439 ,37'279 ,37'338 ,37'482 ,37'793 ,38'060 ,37'697 ,37'752 
Japan,,"US Dollar, 2018",i,40'175 ,41'082 ,40'380 ,40'353 ,39'633 ,39'592 ,40'305 ,40'510 ,40'573 
Korea,,"US Dollar, 2018",i,34'956 ,35'295 ,34'864 ,35'529 ,35'321 ,35'949 ,37'165 ,37'849 ,39'472 
Latvia,,"US Dollar, 2018",i,18'175 ,17'541 ,18'273 ,19'152 ,20'429 ,22'295 ,23'592 ,24'634 ,25'586 
Lithuania,,"US Dollar, 2018",i,18'836 ,19'367 ,19'671 ,20'472 ,21'368 ,22'742 ,23'933 ,25'207 ,26'429 
Luxembourg,,"US Dollar, 2018",i,62'132 ,61'213 ,60'707 ,61'305 ,63'607 ,64'552 ,64'453 ,65'891 ,65'449 
Mexico,,"US Dollar, 2018",i,16'183 ,16'328 ,16'050 ,16'050 ,16'029 ,16'231 ,16'136 ,16'110 ,16'298 
Netherlands,,"US Dollar, 2018",i,54'477 ,54'140 ,54'362 ,54'555 ,54'261 ,54'893 ,55'132 ,54'634 ,54'262 
New Zealand,,"US Dollar, 2018",i,38'803 ,38'804 ,39'622 ,39'111 ,39'419 ,40'256 ,41'765 ,41'954 ,42'325 
Norway,,"US Dollar, 2018",i,46'594 ,48'180 ,49'465 ,50'449 ,50'749 ,50'994 ,50'207 ,50'412 ,50'956 
Poland,,"US Dollar, 2018",i,23'652 ,23'654 ,23'446 ,23'713 ,24'196 ,24'726 ,25'956 ,27'058 ,29'109 
Portugal,,"US Dollar, 2018",i,27'080 ,26'437 ,25'294 ,25'814 ,25'360 ,25'307 ,25'350 ,25'289 ,25'487 
Slovak Republic,,"US Dollar, 2018",i,22'360 ,22'161 ,21'917 ,22'082 ,22'511 ,23'344 ,24'053 ,24'720 ,25'357 
Slovenia,,"US Dollar, 2018",i,35'474 ,35'341 ,34'228 ,33'749 ,34'282 ,34'934 ,36'153 ,36'883 ,37'322 
Spain,,"US Dollar, 2018",i,41'034 ,40'453 ,39'302 ,39'391 ,39'398 ,40'088 ,39'860 ,39'073 ,38'761 
Sweden,,"US Dollar, 2018",i,40'175 ,40'681 ,41'581 ,42'016 ,42'444 ,43'159 ,43'736 ,43'987 ,44'196 
Switzerland,,"US Dollar, 2018",i,62'003 ,62'108 ,63'207 ,64'181 ,64'285 ,64'223 ,64'064 ,63'900 ,64'109 
United Kingdom,,"US Dollar, 2018",i,45'527 ,44'376 ,44'007 ,44'141 ,43'782 ,44'126 ,44'466 ,44'590 ,44'770 
United States,,"US Dollar, 2018",i,59'477 ,59'562 ,60'047 ,59'766 ,60'618 ,62'106 ,62'153 ,62'727 ,63'093 
Data extracted on 10 Jun 2020 12:33 UTC (GMT) from OECD.Stat,,,,,,,,,,,,
