#NAME?,"<?xml version=""1.0"" encoding=""utf-16""?><WebTableParameter xmlns:xsd=""http://www.w3.org/2001/XMLSchema"" xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance"" xmlns=""http://stats.oecd.org/OECDStatWS/2004/03/01/""><DataTable Code=""STLABOUR"" HasMetadata=""true""><Name LocaleIsoCode=""en"">Short-Term Labour Market Statistics</Name><Name LocaleIsoCode=""fr"">Statistiques à court terme sur le marché de travail</Name><Dimension Code=""LOCATION"" HasMetadata=""false"" CommonCode=""LOCATION"" Display=""labels""><Name LocaleIsoCode=""en"">Country</Name><Name LocaleIsoCode=""fr"">Pays</Name><Member Code=""AUS"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Australia</Name><Name LocaleIsoCode=""fr"">Australie</Name></Member><Member Code=""AUT"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Austria</Name><Name LocaleIsoCode=""fr"">Autriche</Name></Member><Member Code=""BEL"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Belgium</Name><Name LocaleIsoCode=""fr"">Belgique</Name></Member><Member Code=""CAN"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Canada</Name><Name LocaleIsoCode=""fr"">Canada</Name></Member><Member Code=""CHL"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Chile</Name><Name LocaleIsoCode=""fr"">Chili</Name></Member><Member Code=""COL"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Colombia</Name><Name LocaleIsoCode=""fr"">Colombie</Name></Member><Member Code=""CZE"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Czech Republic</Name><Name LocaleIsoCode=""fr"">République tchèque</Name></Member><Member Code=""DNK"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Denmark</Name><Name LocaleIsoCode=""fr"">Danemark</Name></Member><Member Code=""EST"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Estonia</Name><Name LocaleIsoCode=""fr"">Estonie</Name></Member><Member Code=""FIN"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Finland</Name><Name LocaleIsoCode=""fr"">Finlande</Name></Member><Member Code=""FRA"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">France</Name><Name LocaleIsoCode=""fr"">France</Name></Member><Member Code=""DEU"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Germany</Name><Name LocaleIsoCode=""fr"">Allemagne</Name></Member><Member Code=""GRC"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Greece</Name><Name LocaleIsoCode=""fr"">Grèce</Name></Member><Member Code=""HUN"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Hungary</Name><Name LocaleIsoCode=""fr"">Hongrie</Name></Member><Member Code=""ISL"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Iceland</Name><Name LocaleIsoCode=""fr"">Islande</Name></Member><Member Code=""IRL"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Ireland</Name><Name LocaleIsoCode=""fr"">Irlande</Name></Member><Member Code=""ISR"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Israel</Name><Name LocaleIsoCode=""fr"">Israël</Name></Member><Member Code=""ITA"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Italy</Name><Name LocaleIsoCode=""fr"">Italie</Name></Member><Member Code=""JPN"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Japan</Name><Name LocaleIsoCode=""fr"">Japon</Name></Member><Member Code=""KOR"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Korea</Name><Name LocaleIsoCode=""fr"">Corée</Name></Member><Member Code=""LVA"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Latvia</Name><Name LocaleIsoCode=""fr"">Lettonie</Name></Member><Member Code=""LTU"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Lithuania</Name><Name LocaleIsoCode=""fr"">Lituanie</Name></Member><Member Code=""LUX"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Luxembourg</Name><Name LocaleIsoCode=""fr"">Luxembourg</Name></Member><Member Code=""MEX"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Mexico</Name><Name LocaleIsoCode=""fr"">Mexique</Name></Member><Member Code=""NLD"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Netherlands</Name><Name LocaleIsoCode=""fr"">Pays-Bas</Name></Member><Member Code=""NZL"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">New Zealand</Name><Name LocaleIsoCode=""fr"">Nouvelle-Zélande</Name></Member><Member Code=""NOR"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Norway</Name><Name LocaleIsoCode=""fr"">Norvège</Name></Member><Member Code=""POL"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Poland</Name><Name LocaleIsoCode=""fr"">Pologne</Name></Member><Member Code=""PRT"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Portugal</Name><Name LocaleIsoCode=""fr"">Portugal</Name></Member><Member Code=""SVK"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Slovak Republic</Name><Name LocaleIsoCode=""fr"">République slovaque</Name></Member><Member Code=""SVN"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Slovenia</Name><Name LocaleIsoCode=""fr"">Slovénie</Name></Member><Member Code=""ESP"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Spain</Name><Name LocaleIsoCode=""fr"">Espagne</Name></Member><Member Code=""SWE"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Sweden</Name><Name LocaleIsoCode=""fr"">Suède</Name></Member><Member Code=""CHE"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Switzerland</Name><Name LocaleIsoCode=""fr"">Suisse</Name></Member><Member Code=""TUR"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Turkey</Name><Name LocaleIsoCode=""fr"">Turquie</Name></Member><Member Code=""GBR"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">United Kingdom</Name><Name LocaleIsoCode=""fr"">Royaume-Uni</Name></Member><Member Code=""USA"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">United States</Name><Name LocaleIsoCode=""fr"">États-Unis</Name></Member><Member Code=""EA19"" HasMetadata=""false"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Euro area (19 countries)</Name><Name LocaleIsoCode=""fr"">Zone euro (19 pays)</Name></Member><Member Code=""EU27_2020"" HasMetadata=""true"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">European Union – 27 countries (from 01/02/2020)</Name><Name LocaleIsoCode=""fr"">Union européenne – 27 pays (à partir du 01/02/2020)</Name></Member><Member Code=""G-7"" HasMetadata=""false"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">G7</Name><Name LocaleIsoCode=""fr"">G7</Name></Member><Member Code=""OECD"" HasMetadata=""false"" HasOnlyUnitMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">OECD - Total</Name><Name LocaleIsoCode=""fr"">OCDE - Total</Name></Member></Dimension><Dimension Code=""SUBJECT"" HasMetadata=""false"" Display=""labels""><Name LocaleIsoCode=""en"">Subject</Name><Name LocaleIsoCode=""fr"">Sujet</Name><Member Code=""LRHUTTFE"" HasMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Harmonised unemployment rate (monthly), Total, Females</Name><Name LocaleIsoCode=""fr"">Taux de chômage harmonisé (mensuel), Total, Femmes</Name></Member><Member Code=""LRHUTTMA"" HasMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Harmonised unemployment rate (monthly), Total, Males</Name><Name LocaleIsoCode=""fr"">Taux de chômage harmonisé (mensuel), Total, Hommes</Name></Member><Member Code=""LRHUTTTT"" HasMetadata=""false"" HasChild=""0"" IsDisplayed=""true""><Name LocaleIsoCode=""en"">Harmonised unemployment rate (monthly), Total, All persons</Name><Name LocaleIsoCode=""fr"">Taux de chômage harmonisé (mensuel), Total, Ensemble de personnes</Name></Member></Dimension><Dimension Code=""MEASURE"" HasMetadata=""false"" Display=""labels""><Name LocaleIsoCode=""en"">Measure</Name><Name LocaleIsoCode=""fr"">Mesure</Name><Member Code=""STSA"" HasMetadata=""false"" HasChild=""0""><Name LocaleIsoCode=""en"">Level, rate or quantity series, s.a.</Name><Name LocaleIsoCode=""fr"">Série en niveau, taux ou quantité, c.v.s.</Name></Member></Dimension><Dimension Code=""FREQUENCY"" HasMetadata=""false"" CommonCode=""FREQUENCY"" Display=""labels""><Name LocaleIsoCode=""en"">Frequency</Name><Name LocaleIsoCode=""fr"">Fréquence</Name><Member Code=""A"" HasMetadata=""false""><Name LocaleIsoCode=""en"">Annual</Name><Name LocaleIsoCode=""fr"">Annuelle</Name></Member></Dimension><Dimension Code=""TIME"" HasMetadata=""false"" CommonCode=""TIME"" Display=""labels""><Name LocaleIsoCode=""en"">Time</Name><Name LocaleIsoCode=""fr"">Temps</Name><Member Code=""2010"" HasMetadata=""false""><Name LocaleIsoCode=""en"">2010</Name><Name LocaleIsoCode=""fr"">2010</Name></Member><Member Code=""2011"" HasMetadata=""false""><Name LocaleIsoCode=""en"">2011</Name><Name LocaleIsoCode=""fr"">2011</Name></Member><Member Code=""2012"" HasMetadata=""false""><Name LocaleIsoCode=""en"">2012</Name><Name LocaleIsoCode=""fr"">2012</Name></Member><Member Code=""2013"" HasMetadata=""false""><Name LocaleIsoCode=""en"">2013</Name><Name LocaleIsoCode=""fr"">2013</Name></Member><Member Code=""2014"" HasMetadata=""false""><Name LocaleIsoCode=""en"">2014</Name><Name LocaleIsoCode=""fr"">2014</Name></Member><Member Code=""2015"" HasMetadata=""false""><Name LocaleIsoCode=""en"">2015</Name><Name LocaleIsoCode=""fr"">2015</Name></Member><Member Code=""2016"" HasMetadata=""false""><Name LocaleIsoCode=""en"">2016</Name><Name LocaleIsoCode=""fr"">2016</Name></Member><Member Code=""2017"" HasMetadata=""false""><Name LocaleIsoCode=""en"">2017</Name><Name LocaleIsoCode=""fr"">2017</Name></Member><Member Code=""2018"" HasMetadata=""false""><Name LocaleIsoCode=""en"">2018</Name><Name LocaleIsoCode=""fr"">2018</Name></Member><Member Code=""2019"" HasMetadata=""false""><Name LocaleIsoCode=""en"">2019</Name><Name LocaleIsoCode=""fr"">2019</Name></Member><Member Code=""2020"" HasMetadata=""false""><Name LocaleIsoCode=""en"">2020</Name><Name LocaleIsoCode=""fr"">2020</Name></Member></Dimension><WBOSInformations><TimeDimension WebTreeWasUsed=""false""><StartCodes Annual=""2010"" /><EndCodes Annual=""2020"" /></TimeDimension></WBOSInformations><Tabulation Axis=""horizontal""><Dimension Code=""FREQUENCY"" CommonCode=""FREQUENCY"" /><Dimension Code=""TIME"" CommonCode=""TIME"" /></Tabulation><Tabulation Axis=""vertical""><Dimension Code=""LOCATION"" CommonCode=""LOCATION"" /></Tabulation><Tabulation Axis=""page""><Dimension Code=""SUBJECT"" /><Dimension Code=""MEASURE"" /></Tabulation><Formatting><Labels LocaleIsoCode=""en"" /><Power>0</Power><Decimals>3</Decimals><SkipEmptyLines>true</SkipEmptyLines><SkipEmptyCols>true</SkipEmptyCols><SkipLineHierarchy>false</SkipLineHierarchy><SkipColHierarchy>false</SkipColHierarchy><Page>1</Page></Formatting></DataTable><Format><ShowEmptyAxes>true</ShowEmptyAxes><Page>1</Page><EnableSort>true</EnableSort><IncludeFlagColumn>false</IncludeFlagColumn><IncludeTimeSeriesId>false</IncludeTimeSeriesId><DoBarChart>false</DoBarChart><FreezePanes>true</FreezePanes><MaxBarChartLen>65</MaxBarChartLen></Format><Query><Name LocaleIsoCode=""en"">Monthly Unemployment Rates</Name><AbsoluteUri>http://stats.oecd.org//View.aspx?QueryId=36324&amp;QueryType=Public&amp;Lang=en</AbsoluteUri></Query></WebTableParameter>",,,,,,,,,,
Time,,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Country,,,,,,,,,,,
Australia,i,5.213 ,5.081 ,5.223 ,5.662 ,6.077 ,6.056 ,5.710 ,5.594 ,5.300 ,5.164 
Austria,i,4.842 ,4.575 ,4.883 ,5.358 ,5.642 ,5.733 ,6.033 ,5.517 ,4.858 ,4.508 
Belgium,i,8.317 ,7.167 ,7.567 ,8.450 ,8.533 ,8.500 ,7.858 ,7.100 ,5.958 ,5.358 
Canada,i,8.058 ,7.525 ,7.292 ,7.083 ,6.908 ,6.908 ,6.992 ,6.342 ,5.833 ,5.658 
Chile,i,8.305 ,7.300 ,6.595 ,6.082 ,6.495 ,6.328 ,6.685 ,6.965 ,7.377 ,7.223 
Colombia,i,11.842 ,10.895 ,10.434 ,9.706 ,9.167 ,8.961 ,9.274 ,9.426 ,9.719 ,10.545 
Czech Republic,i,7.292 ,6.717 ,6.975 ,6.967 ,6.117 ,5.058 ,3.967 ,2.908 ,2.267 ,2.017 
Denmark,i,7.767 ,7.758 ,7.800 ,7.392 ,6.883 ,6.300 ,6.008 ,5.817 ,5.117 ,5.058 
Estonia,i,16.742 ,12.425 ,9.992 ,8.567 ,7.383 ,6.208 ,6.767 ,5.817 ,5.375 ,4.400 
Finland,i,8.383 ,7.775 ,7.683 ,8.192 ,8.658 ,9.375 ,8.792 ,8.633 ,7.358 ,6.692 
France,i,9.267 ,9.183 ,9.767 ,10.317 ,10.300 ,10.358 ,10.042 ,9.425 ,9.025 ,8.450 
Germany,i,6.967 ,5.833 ,5.383 ,5.242 ,4.992 ,4.633 ,4.133 ,3.758 ,3.400 ,3.150 
Greece,i,12.750 ,17.917 ,24.492 ,27.492 ,26.550 ,24.958 ,23.567 ,21.533 ,19.308 ,17.333 
Hungary,i,11.167 ,11.058 ,11.017 ,10.117 ,7.742 ,6.833 ,5.100 ,4.175 ,3.708 ,3.450 
Iceland,i,7.558 ,7.050 ,6.025 ,5.392 ,4.958 ,3.992 ,3.008 ,2.825 ,2.742 ,3.542 
Ireland,i,14.558 ,15.400 ,15.508 ,13.775 ,11.908 ,9.942 ,8.408 ,6.733 ,5.767 ,4.975 
Israel,i,6.637 ,5.602 ,6.850 ,6.208 ,5.908 ,5.242 ,4.808 ,4.217 ,4.000 ,3.800 
Italy,i,8.350 ,8.350 ,10.642 ,12.133 ,12.650 ,11.892 ,11.675 ,11.225 ,10.617 ,9.967 
Japan,i,5.050 ,4.583 ,4.350 ,4.025 ,3.592 ,3.375 ,3.117 ,2.808 ,2.442 ,2.350 
Korea,i,3.708 ,3.408 ,3.225 ,3.100 ,3.492 ,3.592 ,3.675 ,3.683 ,3.833 ,3.783 
Latvia,i,19.467 ,16.217 ,15.042 ,11.875 ,10.850 ,9.883 ,9.633 ,8.708 ,7.400 ,6.325 
Lithuania,i,17.842 ,15.392 ,13.408 ,11.800 ,10.725 ,9.133 ,7.900 ,7.117 ,6.183 ,6.283 
Luxembourg,i,4.583 ,4.833 ,5.067 ,5.875 ,6.050 ,6.458 ,6.333 ,5.617 ,5.500 ,5.608 
Mexico,i,5.381 ,5.234 ,4.953 ,4.929 ,4.829 ,4.353 ,3.882 ,3.419 ,3.329 ,3.495 
Netherlands,i,5.008 ,4.992 ,5.825 ,7.242 ,7.425 ,6.892 ,6.025 ,4.858 ,3.842 ,3.400 
New Zealand,i,6.150 ,5.950 ,6.400 ,5.750 ,5.375 ,5.350 ,5.100 ,4.700 ,4.300 ,4.075 
Norway,i,3.733 ,3.408 ,3.300 ,3.758 ,3.633 ,4.500 ,4.758 ,4.192 ,3.875 ,3.700 
Poland,i,9.675 ,9.650 ,10.108 ,10.342 ,9.017 ,7.525 ,6.192 ,4.883 ,3.858 ,3.283 
Portugal,i,11.983 ,12.883 ,15.783 ,16.458 ,14.125 ,12.658 ,11.175 ,9.017 ,7.050 ,6.550 
Slovak Republic,i,14.500 ,13.683 ,13.958 ,14.225 ,13.208 ,11.500 ,9.667 ,8.125 ,6.542 ,5.758 
Slovenia,i,7.275 ,8.208 ,8.892 ,10.158 ,9.742 ,9.000 ,8.008 ,6.600 ,5.125 ,4.450 
Spain,i,19.875 ,21.408 ,24.792 ,26.117 ,24.450 ,22.075 ,19.650 ,17.233 ,15.267 ,14.117 
Sweden,i,8.575 ,7.767 ,7.967 ,8.000 ,7.933 ,7.400 ,6.950 ,6.683 ,6.325 ,6.767 
Switzerland,i,4.803 ,4.401 ,4.484 ,4.747 ,4.829 ,4.800 ,4.919 ,4.797 ,4.714 ,4.394 
Turkey,i,10.667 ,8.825 ,8.158 ,8.725 ,9.958 ,10.308 ,10.908 ,10.925 ,10.975 ,13.700 
United Kingdom,i,7.808 ,8.058 ,7.925 ,7.550 ,6.142 ,5.325 ,4.825 ,4.350 ,4.017 ,3.767 
United States,i,9.617 ,8.950 ,8.067 ,7.375 ,6.167 ,5.292 ,4.867 ,4.350 ,3.900 ,3.667 
Euro area (19 countries),,10.225 ,10.217 ,11.375 ,12.042 ,11.617 ,10.858 ,10.025 ,9.067 ,8.200 ,7.567 
European Union – 27 countries (from 01/02/2020),i,9.908 ,9.925 ,10.883 ,11.400 ,10.883 ,10.067 ,9.125 ,8.150 ,7.283 ,6.725 
G7,,8.146 ,7.635 ,7.361 ,7.096 ,6.383 ,5.807 ,5.453 ,4.983 ,4.546 ,4.280 
OECD - Total,,8.490 ,8.081 ,8.061 ,7.973 ,7.434 ,6.866 ,6.447 ,5.920 ,5.481 ,5.389 
Data extracted on 10 Jun 2020 08:16 UTC (GMT) from OECD.Stat,,,,,,,,,,,
Legend:,,,,,,,,,,,
B:,Break,,,,,,,,,,
E:,Estimated value,,,,,,,,,,
