Nb;Year;Country;U_Emp;UL_Cost;Wage;Cor_Tax;CPI;GPI_Acc;GPI_Law;GPI_Qual;GPI_Violo;GPI_Effe;GPI_Corr;Prop_Cost;;PropDev;Zins;;;;;;;;;;;;;;
1;2010;Spain;19.875;105.6;41034.0;30.0;;85.30806;86.25592;84.21053;33.64929;78.94736;82.38095;5921,47;;-23.59%;-2,95%;0;1;2;3;4;5;6;7;8;9;10;;;5921,47
2;2011;Spain;21.408;103.8;40453.0;30.0;;83.09859;85.91549;81.51659;48.34123;81.51659;82.46445;5746,78;;;;5921,5;5746,8;5577,3;5412,7;5253,0;5098,1;4947,7;4801,7;4660,1;4522,6;;;;5746,78
3;2012;Spain;24.792;101.2;39302.0;30.0;65.0;82.15962;83.09859;78.19905;42.65403;82.46445;83.41232;5577,25;;;;5921,465969;5746,782723;5577,252632;5412,72368;5253,048331;5098,083405;4947,689945;4801,733091;4660,081965;4522,609547;;;;5577,25
4;2013;Spain;26.117;100.3;39391.0;30.0;59.0;78.40376;81.69014;79.14692;46.91943;82.93839;78.19905;5412,72;;;;;5921,465969;-0,236;4524;;;;;;;;;;5412,72
5;2014;Spain;24.450;100.0;39398.0;30.0;60.0;76.84729;80.28846;75;55.23809;84.13461;72.11539;5253,05;;;;Switzerland;11728.95;;;;;;;;;;;;5253,05
6;2015;Spain;22.075;100.0;40088.0;28.0;58.0;82.75862;79.32692;75.48077;55.71429;85.09615;69.71154;5098,08;;;;United Kingdom;12412.5;;;;;;;;;;;;5098,08
7;2016;Spain;19.650;99.1;39860.0;25.0;58.0;82.26601;80.76923;81.25;60.95238;83.17308;68.26923;4947,69;;;;;;;;;;;;;;;;;4947,69
8;2017;Spain;17.233;99.5;39073.0;25.0;57.0;81.28078;81.25;79.80769;56.19048;81.73077;68.26923;4801,73;;;;;;;;;;;;;;;;;4801,73
9;2018;Spain;15.267;100.7;38761.0;25.0;58.0;82.75862;80.28846;80.28846;55.23809;79.32692;72.59615;4660,08;;;Zins;;;;;;;;;;;;;;4660,08
10;2019;Spain;14.117;103.0;;;62.0;;;;;;;4522,61;;;2,02%;0;1;2;3;4;5;6;7;8;9;10;;;4522,61
11;2010;Switzerland;4.803;97.5;62003.0;21.2;;99.05213;94.3128;94.73684;92.41706;97.60766;96.66666;9794,57;;19.75%;;9794,6;9992,7;10194,8;10401,1;10611,4;10826,1;11045,1;11268,5;11496,5;11729,0;;;;9794,57
12;2011;Switzerland;4.401;99.3;62108.0;21.2;;98.59155;93.89671;94.78673;94.3128;97.63033;95.7346;9992,70;;;;9794,573025;9992,698697;10194,83208;10401,05423;10611,44787;10826,09737;11045,08883;11268,51007;11496,4507;11729,00214;;;;9992,70
13;2012;Switzerland;4.484;100.6;63207.0;21.2;86.0;98.12206;96.71362;95.26067;98.5782;97.63033;97.63033;10194,83;;;;;9794,573025;0,1975;11729,0012;;;;;;;;;;10194,83
14;2013;Switzerland;4.747;101.2;64181.0;21.1;85.0;98.12206;96.24413;94.3128;98.10426;97.63033;97.63033;10401,05;;;;;;;;;;;;;;;;;10401,05
15;2014;Switzerland;4.829;100.1;64285.0;21.1;86.0;99.01478;98.07692;96.15385;98.09524;99.51923;97.59615;10611,45;;;;;;;;;;;;;;;;;10611,45
16;2015;Switzerland;4.800;100.0;64223.0;21.1;86.0;98.52217;97.59615;95.19231;96.66666;99.51923;97.59615;10826,10;;;;;;;;;;;;;;;;;10826,10
17;2016;Switzerland;4.919;99.3;64064.0;21.1;86.0;97.53695;98.07692;98.07692;94.7619;99.51923;95.67308;11045,09;;;;;;;;;;;;;;;;;11045,09
18;2017;Switzerland;4.797;98.8;63900.0;21.1;85.0;98.02956;98.55769;97.11539;94.28571;99.51923;96.63461;11268,51;;;;;;;;;;;;;;;;;11268,51
19;2018;Switzerland;4.714;98.1;64109.0;21.1;85.0;99.01478;99.03846;96.63461;95.2381;99.51923;96.63461;11496,45;;;;;;;;;;;;;;;;;11496,45
