"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ESP","Spain","CPNCU","Current prices in NCU","2000","2000","EUR","Euro","0","Units",,,18643.7261767649,,
"ESP","Spain","CPNCU","Current prices in NCU","2001","2001","EUR","Euro","0","Units",,,19292.4954041382,,
"ESP","Spain","CPNCU","Current prices in NCU","2002","2002","EUR","Euro","0","Units",,,19970.9273603007,,
"ESP","Spain","CPNCU","Current prices in NCU","2003","2003","EUR","Euro","0","Units",,,20548.6634341263,,
"ESP","Spain","CPNCU","Current prices in NCU","2004","2004","EUR","Euro","0","Units",,,21071.7765350525,,
"ESP","Spain","CPNCU","Current prices in NCU","2005","2005","EUR","Euro","0","Units",,,21912.5409262414,,
"ESP","Spain","CPNCU","Current prices in NCU","2006","2006","EUR","Euro","0","Units",,,22619.0854649206,,
"ESP","Spain","CPNCU","Current prices in NCU","2007","2007","EUR","Euro","0","Units",,,23676.097250265,,
"ESP","Spain","CPNCU","Current prices in NCU","2008","2008","EUR","Euro","0","Units",,,25503.4127932739,,
"ESP","Spain","CPNCU","Current prices in NCU","2009","2009","EUR","Euro","0","Units",,,26994.9286679999,,
"ESP","Spain","CPNCU","Current prices in NCU","2010","2010","EUR","Euro","0","Units",,,27051.4250606605,,
"ESP","Spain","CPNCU","Current prices in NCU","2011","2011","EUR","Euro","0","Units",,,27315.7515688921,,
"ESP","Spain","CPNCU","Current prices in NCU","2012","2012","EUR","Euro","0","Units",,,27171.7480511382,,
"ESP","Spain","CPNCU","Current prices in NCU","2013","2013","EUR","Euro","0","Units",,,27517.0367398556,,
"ESP","Spain","CPNCU","Current prices in NCU","2014","2014","EUR","Euro","0","Units",,,27568.3039134171,,
"ESP","Spain","CPNCU","Current prices in NCU","2015","2015","EUR","Euro","0","Units",,,27997.0426976205,,
"ESP","Spain","CPNCU","Current prices in NCU","2016","2016","EUR","Euro","0","Units",,,27826.2159137413,,
"ESP","Spain","CPNCU","Current prices in NCU","2017","2017","EUR","Euro","0","Units",,,27718.7642473948,,
"ESP","Spain","CPNCU","Current prices in NCU","2018","2018","EUR","Euro","0","Units",,,27945.9613286129,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2000","2000","CHF","Swiss Franc","0","Units",,,72382.6361639851,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2001","2001","CHF","Swiss Franc","0","Units",,,75505.7828352823,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2002","2002","CHF","Swiss Franc","0","Units",,,76396.3840673236,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2003","2003","CHF","Swiss Franc","0","Units",,,76967.8516028916,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2004","2004","CHF","Swiss Franc","0","Units",,,76732.3102966523,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2005","2005","CHF","Swiss Franc","0","Units",,,78748.0674808127,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2006","2006","CHF","Swiss Franc","0","Units",,,80193.7431454169,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2007","2007","CHF","Swiss Franc","0","Units",,,82459.3961186087,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2008","2008","CHF","Swiss Franc","0","Units",,,84448.9063485271,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2009","2009","CHF","Swiss Franc","0","Units",,,85649.1192529519,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2010","2010","CHF","Swiss Franc","0","Units",,,86206.6317274575,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2011","2011","CHF","Swiss Franc","0","Units",,,86313.6281189342,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2012","2012","CHF","Swiss Franc","0","Units",,,86895.0616028833,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2013","2013","CHF","Swiss Franc","0","Units",,,87758.0233325272,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2014","2014","CHF","Swiss Franc","0","Units",,,87760.4894525224,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2015","2015","CHF","Swiss Franc","0","Units",,,87092.7315365007,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2016","2016","CHF","Swiss Franc","0","Units",,,86756.2573960161,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2017","2017","CHF","Swiss Franc","0","Units",,,86992.1955193067,,
"CHE","Switzerland","CPNCU","Current prices in NCU","2018","2018","CHF","Swiss Franc","0","Units",,,87716.0117101914,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2000","2000","GBP","Pound Sterling","0","Units",,,22447.9824377688,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2001","2001","GBP","Pound Sterling","0","Units",,,23650.5056203263,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2002","2002","GBP","Pound Sterling","0","Units",,,24184.7281839126,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2003","2003","GBP","Pound Sterling","0","Units",,,25138.5673014167,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2004","2004","GBP","Pound Sterling","0","Units",,,26117.2497074158,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2005","2005","GBP","Pound Sterling","0","Units",,,26604.3858255152,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2006","2006","GBP","Pound Sterling","0","Units",,,27979.5399304583,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2007","2007","GBP","Pound Sterling","0","Units",,,29367.5414086711,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2008","2008","GBP","Pound Sterling","0","Units",,,29749.5108597013,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2009","2009","GBP","Pound Sterling","0","Units",,,30534.2836683556,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2010","2010","GBP","Pound Sterling","0","Units",,,31103.0742211767,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2011","2011","GBP","Pound Sterling","0","Units",,,31454.7737148699,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2012","2012","GBP","Pound Sterling","0","Units",,,31859.5444883341,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2013","2013","GBP","Pound Sterling","0","Units",,,32694.0681053239,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2014","2014","GBP","Pound Sterling","0","Units",,,33057.7613317215,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2015","2015","GBP","Pound Sterling","0","Units",,,33484.5016074992,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2016","2016","GBP","Pound Sterling","0","Units",,,34232.0245820662,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2017","2017","GBP","Pound Sterling","0","Units",,,35043.6564154122,,
"GBR","United Kingdom","CPNCU","Current prices in NCU","2018","2018","GBP","Pound Sterling","0","Units",,,35977.9730625414,,
"ESP","Spain","CNPNCU","2018 constant prices and NCU","2000","2000","EUR","Euro","0","Units","2018","2018",26856.4576765193,,
"ESP","Spain","CNPNCU","2018 constant prices and NCU","2001","2001","EUR","Euro","0","Units","2018","2018",26850.698706598,,
"ESP","Spain","CNPNCU","2018 constant prices and NCU","2002","2002","EUR","Euro","0","Units","2018","2018",27048.9565471746,,
"ESP","Spain","CNPNCU","2018 constant prices and NCU","2003","2003","EUR","Euro","0","Units","2018","2018",26975.9947280758,,
"ESP","Spain","CNPNCU","2018 constant prices and NCU","2004","2004","EUR","Euro","0","Units","2018","2018",26697.4800087569,,
