"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,5.08119518333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,5.22337585833333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,5.6619398,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,6.07724431666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,6.05642340833333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,5.71030101666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2017","2017","PC","Percentage","0","Units",,,5.59376038333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2018","2018","PC","Percentage","0","Units",,,5.29982851666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUS","Australia","ST","Level, ratio or index","A","Annual","2019","2019","PC","Percentage","0","Units",,,5.16392018333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,4.575,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,4.88333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,5.35833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,5.64166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,5.73333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,6.03333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2017","2017","PC","Percentage","0","Units",,,5.51666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2018","2018","PC","Percentage","0","Units",,,4.85833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","AUT","Austria","ST","Level, ratio or index","A","Annual","2019","2019","PC","Percentage","0","Units",,,4.50833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,7.16666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,7.56666666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,8.45,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,8.53333333333334,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,8.5,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,7.85833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2017","2017","PC","Percentage","0","Units",,,7.1,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2018","2018","PC","Percentage","0","Units",,,5.95833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","BEL","Belgium","ST","Level, ratio or index","A","Annual","2019","2019","PC","Percentage","0","Units",,,5.35833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,7.525,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2012","2012","PC","Percentage","0","Units",,,7.29166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2013","2013","PC","Percentage","0","Units",,,7.08333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2014","2014","PC","Percentage","0","Units",,,6.90833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2015","2015","PC","Percentage","0","Units",,,6.90833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2016","2016","PC","Percentage","0","Units",,,6.99166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2017","2017","PC","Percentage","0","Units",,,6.34166666666667,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2018","2018","PC","Percentage","0","Units",,,5.83333333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CAN","Canada","ST","Level, ratio or index","A","Annual","2019","2019","PC","Percentage","0","Units",,,5.65833333333333,,
"LRHUTTTT","Harmonised unemployment rate: all persons, s.a.","CZE","Czech Republic","ST","Level, ratio or index","A","Annual","2011","2011","PC","Percentage","0","Units",,,6.71666666666667,,
