Location,City,Country,Cost
"Tirana, Albania",Tirana,Albania,1663.71
"Vienna, Austria",Vienna,Austria,7138.82
"Minsk, Belarus",Minsk,Belarus,1477.79
"Brussels, Belgium",Brussels,Belgium,3353.41
"Sarajevo, Bosnia And Herzegovina",Sarajevo,Bosnia And Herzegovina,1747.52
"Sofia, Bulgaria",Sofia,Bulgaria,1620.31
"Dubrovnik, Croatia",Dubrovnik,Croatia,7876
"Split, Croatia",Split,Croatia,3244.99
"Prague, Czech Republic",Prague,Czech Republic,4907.62
"Copenhagen, Denmark",Copenhagen,Denmark,6274.36
"Tallinn, Estonia",Tallinn,Estonia,2613.12
"Helsinki, Finland",Helsinki,Finland,7762.1
"Paris, France",Paris,France,11813.02
"Berlin, Germany",Berlin,Germany,5858.81
"Athens, Greece",Athens,Greece,2058.7
"Budapest, Hungary",Budapest,Hungary,2937.22
"Reykjavik, Iceland",Reykjavik,Iceland,4027
"Dublin, Ireland",Dublin,Ireland,5600.78
"Rome, Italy",Rome,Italy,6603.23
"Pristina, Kosovo (Disputed Territory)",Pristina,Kosovo (Disputed Territory),1147.06
"Riga, Latvia",Riga,Latvia,1984.85
"Vilnius, Lithuania",Vilnius,Lithuania,2713.05
"Luxembourg, Luxembourg",Luxembourg,Luxembourg,9728.09
"Chisinau, Moldova",Chisinau,Moldova,944.71
"Podgorica, Montenegro",Podgorica,Montenegro,1419.19
"Amsterdam, Netherlands",Amsterdam,Netherlands,7532.01
"Skopje, North Macedonia",Skopje,North Macedonia,1224.5
"Oslo, Norway",Oslo,Norway,7579.32
"Warsaw, Poland",Warsaw,Poland,3319.47
"Lisbon, Portugal",Lisbon,Portugal,4448.08
"Cluj-Napoca, Romania",Cluj-Napoca,Romania,1976.43
"Moscow, Russia",Moscow,Russia,4732.71
"Belgrade, Serbia",Belgrade,Serbia,2542.5
"Bratislava, Slovakia",Bratislava,Slovakia,3496
"Ljubljana, Slovenia",Ljubljana,Slovenia,3694.29
"Barcelona, Spain",Barcelona,Spain,4524.33
"Stockholm, Sweden",Stockholm,Sweden,8943.14
"Zurich, Switzerland",Zurich,Switzerland,11728.95
"Kiev (Kyiv), Ukraine",Kiev (Kyiv),Ukraine,1654.58
"London, United Kingdom",London,United Kingdom,12412.5
